iter	Passed	Remaining
0	17	3495
1	34	3417
2	50	3299
3	67	3300
4	83	3265
5	100	3236
6	116	3223
7	132	3189
8	148	3157
9	166	3161
10	182	3140
11	201	3154
12	220	3168
13	236	3148
14	254	3143
15	270	3115
16	286	3083
17	291	2946
18	309	2947
19	326	2937
20	344	2932
21	360	2919
22	378	2911
23	394	2894
24	411	2881
25	428	2868
26	444	2846
27	461	2832
28	478	2822
29	495	2810
30	513	2797
31	530	2785
32	547	2769
33	564	2756
34	581	2739
35	596	2718
36	614	2705
37	630	2688
38	647	2673
39	664	2656
40	679	2635
41	696	2618
42	711	2599
43	729	2587
44	745	2566
45	763	2557
46	780	2541
47	798	2529
48	817	2517
49	835	2506
50	854	2495
51	874	2488
52	893	2476
53	915	2474
54	932	2459
55	951	2446
56	969	2432
57	987	2418
58	1007	2407
59	1027	2396
60	1044	2381
61	1063	2367
62	1082	2353
63	1098	2334
64	1116	2318
65	1135	2305
66	1153	2290
67	1172	2275
68	1189	2258
69	1208	2244
70	1227	2230
71	1248	2219
72	1267	2205
73	1285	2188
74	1302	2171
75	1321	2156
76	1344	2147
77	1362	2131
78	1387	2125
79	1414	2121
80	1439	2114
81	1449	2086
82	1467	2068
83	1485	2051
84	1504	2035
85	1522	2018
86	1539	2000
87	1558	1984
88	1576	1966
89	1594	1948
90	1612	1931
91	1630	1914
92	1647	1896
93	1667	1880
94	1686	1863
95	1704	1847
96	1722	1829
97	1739	1810
98	1758	1794
99	1777	1777
100	1795	1760
101	1814	1743
102	1834	1727
103	1853	1710
104	1871	1693
105	1889	1675
106	1907	1657
107	1927	1641
108	1945	1623
109	1955	1599
110	1974	1583
111	1994	1567
112	2015	1551
113	2033	1534
114	2052	1517
115	2070	1499
116	2088	1481
117	2107	1464
118	2124	1446
119	2143	1428
120	2162	1411
121	2180	1393
122	2197	1375
123	2215	1358
124	2233	1340
125	2253	1323
126	2272	1305
127	2290	1288
128	2308	1270
129	2326	1252
130	2345	1235
131	2363	1217
132	2379	1198
133	2396	1180
134	2412	1161
135	2429	1143
136	2447	1125
137	2464	1107
138	2481	1089
139	2499	1071
140	2515	1052
141	2532	1034
142	2548	1015
143	2564	997
144	2581	979
145	2597	960
146	2612	942
147	2631	924
148	2648	906
149	2666	888
150	2682	870
151	2698	852
152	2715	834
153	2732	816
154	2748	798
155	2764	779
156	2782	762
157	2798	743
158	2817	726
159	2833	708
160	2851	690
161	2867	672
162	2885	655
163	2903	637
164	2921	619
165	2937	601
166	2954	583
167	2970	565
168	2986	547
169	3003	530
170	3021	512
171	3040	494
172	3057	477
173	3074	459
174	3092	441
175	3108	423
176	3126	406
177	3143	388
178	3161	370
179	3177	353
180	3195	335
181	3212	317
182	3230	300
183	3246	282
184	3263	264
185	3279	246
186	3296	229
187	3312	211
188	3328	193
189	3344	176
190	3362	158
191	3378	140
192	3395	123
193	3412	105
194	3428	87
195	3444	70
196	3460	52
197	3477	35
198	3498	17
199	3517	0
